,Team,Tournament,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
0,1. Bayer Leverkusen,Bundesliga,89,18.2,590,62.1,88.8,10.8,6.97
1,2. Manchester City,Premier League,96,18.2,522,65.4,90.5,8.7,6.97
2,3. Bayern Munich,Bundesliga,94,18.8,452,61.3,88.9,12.2,6.95
3,4. Real Madrid,LaLiga,87,15.7,674,59.3,90.1,8.9,6.93
4,5. Paris Saint-Germain,Ligue 1,81,15.1,493,65.7,89.7,8.2,6.92
5,6. Arsenal,Premier League,91,17.3,622,58.4,86.8,13.6,6.87
6,7. Liverpool,Premier League,86,20.8,655,61.3,85.8,15.6,6.86
7,8. Inter,Serie A,89,15.6,461,57.3,87.8,14.3,6.85
8,9. VfB Stuttgart,Bundesliga,78,15.8,541,60.4,86.9,13.1,6.83
9,10. Barcelona,LaLiga,79,15.7,852,64.7,88.6,12,6.82
10,11. Monaco,Ligue 1,68,15.2,728,54.0,82.7,11.9,6.80
11,12. Newcastle,Premier League,85,14.5,771,52.2,82.7,12,6.78
12,13. RB Leipzig,Bundesliga,77,15.7,591,55.4,84.8,12.9,6.78
13,14. Brest,Ligue 1,53,14.3,805,54.0,81.9,17.8,6.76
14,15. Girona,LaLiga,85,12.7,751,57.1,87.9,10.1,6.75
15,16. Chelsea,Premier League,77,14.4,1054,59.0,87.5,11.8,6.74
16,17. Borussia Dortmund,Bundesliga,68,15.1,554,58.1,85.5,11.8,6.74
17,18. Atalanta,Serie A,72,14.3,731,51.1,82.1,16.7,6.74
18,19. Lille,Ligue 1,52,13,653,57.1,86.0,10.9,6.73
19,20. Tottenham,Premier League,74,15.4,894,62.0,87.4,9.7,6.72
